RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200204-74078,-1,-0.9747,-0.178835,0.0,0.0,0.2394677666722601,-0.48735,-0.48735,-0.9747,0.48735,-0.9747
20200425-44226,0,0.9953,0.1438891304347826,0.0,0.0,0.28887366595425856,0.31104375,0.064,0.0,0.40436781209801737,0.0
20200607-10727,-1,-0.1113,0.045354545454545446,0.0,0.0,0.3652713844493169,0.03837692307692307,0.0,0.0,0.33639904910193547,0.0
20200912-1704,0,0.9824,0.026962903225806453,0.0,0.0,0.2587568432842115,0.047947368421052634,0.0,0.0,0.33018059391541765,0.9861
20200227-63988,-1,-0.9943,-0.08713265306122449,0.0,0.0,0.3878412484971376,-0.1292851851851852,-0.0258,0.0,0.45217834543111146,0.5106
20200513-82398,0,0.962,0.0838325,0.0,0.0,0.35775154114797325,0.10391818181818183,0.0258,0.0,0.37636410196135744,0.2023
20200216-33728,-1,0.8126,0.10437500000000001,0.0,0.0,0.18418882577851098,0.17892857142857144,0.0,0.0,0.21170327424612642,0.5106
20200625-83208,0,0.9966,0.20424285714285714,0.18345,0.0,0.34214330688905725,0.22354666666666667,0.09,0.0,0.43818605160618956,0.5758000000000001
20200410-10035,0,0.9385,0.18826363636363638,0.0,0.0,0.24722313907858176,0.29756,0.0,0.0,0.3645395813900049,0.7577
20200318-53989,-1,-0.9921,-0.06636981132075472,0.0,0.0,0.3902186936833811,-0.09655517241379309,-0.0516,0.0,0.49696004528651716,-0.4384
20200319-63776,-1,-0.9821,-0.06913333333333334,0.0,0.0,0.406746202994931,-0.07147575757575758,0.0,0.0,0.46005503625327465,0.5106
20200525-14206,0,0.8501,0.10594999999999999,0.0,0.0,0.24993630438573744,0.11873333333333333,0.0,0.0,0.29468002797761655,0.0603
20200228-58048,1,0.9955,0.2642111111111111,0.0772,0.0,0.3219263446163185,0.29992083333333336,0.2321,0.0,0.33968366899608066,0.6808
20200827-1367,0,0.994,0.22506800000000002,0.0772,0.0,0.29294531192016027,0.277795,0.25895,0.0,0.30603417860591975,0.9321
20200806-91301,0,0.9988,0.19909107142857144,0.0,0.0,0.32950190562899295,0.2225529411764706,0.0,0.0,0.32674386043885617,0.2732
20200721-25973,0,0.9996,0.2785131868131868,0.3182,0.0,0.3284678886771765,0.5904333333333334,0.7717,0.7717,0.4277407652097497,0.7717
20200915-43032,1,0.998,0.2704073170731707,0.34,0.0,0.38286748671764337,0.5070133333333333,0.5859,0.5859,0.3901163055067325,0.4404
20200722-40329,-1,0.9637,0.12159130434782608,0.0,0.0,0.24039632116306078,0.16978666666666667,0.0,0.0,0.2777606736422963,0.5106
20200912-38185,-1,0.1109,0.008475,0.0,0.0,0.4678980558038257,0.01779333333333333,0.0,0.0,0.46890789069448974,-0.1251
20200412-38995,-1,0.967,0.0856325,0.0,0.0,0.3415702734339597,0.166145,0.2021,-0.3818,0.44463505875605447,-0.22869999999999996
20200630-68738,1,0.8931,0.1147,0.0772,0.0,0.4456402289787251,0.09022,0.0,0.0,0.3872335749905992,1.3582
20200828-63385,1,0.9834,0.21742777777777778,0.0,0.0,0.36418414726245835,0.32037857142857146,0.3104,0.0,0.3249830395103532,0.0
20200601-57445,1,0.6355,-0.0018499999999999955,0.0,0.0,0.427997271962909,-0.01188333333333333,0.0,0.0,0.5237583446696683,-0.6908
20200806-17477,-1,0.8176,0.01563571428571429,0.0,0.0,0.33812382686808445,0.028929166666666672,0.0,0.0,0.39053803216328653,0.5106
20200828-39807,1,0.0536,0.09507333333333333,0.0,0.0,0.18707920414151388,0.10357777777777777,0.0,0.0,0.18858275388202494,0.0
